summary_variant,material_system,n_terms,mean_displacement,median_displacement,std_displacement,min_displacement,max_displacement,mean_min_count,median_min_count
all_group_terms,short_fiber_composite,19,0.15216189215392384,0.1512706435973368,0.0736158313725232,0.0760760006672784,0.3554890846205489,80959.31578947368,25165.0
all_group_terms,structural_color_composite,22,0.17866243556622746,0.1292502800454033,0.10535208510665695,0.0856079970533322,0.4993321829010337,38606.86363636364,10533.0
all_group_terms,zirconia,15,0.15316116374411676,0.134409191133656,0.060660556597695606,0.0838526554255999,0.30387670019349,44607.26666666667,14578.0
unique_terms_within_group,short_fiber_composite,19,0.15216189215392384,0.1512706435973368,0.0736158313725232,0.0760760006672784,0.3554890846205489,80959.31578947368,25165.0
unique_terms_within_group,structural_color_composite,22,0.17866243556622746,0.1292502800454033,0.10535208510665695,0.0856079970533322,0.4993321829010337,38606.86363636364,10533.0
unique_terms_within_group,zirconia,15,0.15316116374411676,0.134409191133656,0.060660556597695606,0.0838526554255999,0.30387670019349,44607.26666666667,14578.0
unique_terms_within_group_min_count_ge_1000,short_fiber_composite,16,0.13390472459146985,0.1055128912224293,0.054626298191177855,0.0760760006672784,0.2701495239333774,96063.3125,75222.0
unique_terms_within_group_min_count_ge_1000,structural_color_composite,18,0.13715287227515566,0.12546395058299936,0.041814041639364884,0.0856079970533322,0.2432449335502955,47110.77777777778,11719.5
unique_terms_within_group_min_count_ge_1000,zirconia,12,0.12891314015399571,0.12795063884872493,0.030693808148354835,0.0838526554255999,0.1871583822584395,55568.083333333336,26494.5
