term	material_system	status	pre_count	post_count
yttria	zirconia	absent_in_both	0	0
monolithic_zirconia	zirconia	absent_in_both	0	0
translucency	zirconia	absent_in_both	0	0
opacity	structural_color_composite	absent_in_both	0	0
refractive_index	structural_color_composite	absent_in_both	0	0
composite	structural_color_composite	present_in_both	7	99
brittle_fracture	short_fiber_composite	absent_in_both	0	0
crack_propagation	short_fiber_composite	absent_in_both	0	0
everx	short_fiber_composite	absent_in_both	0	0
