mode,k,n_terms,mean_jaccard,median_jaccard,mean_overlap,median_overlap
common_vocab,5,3,0.1574074074074074,0.1111111111111111,1.3333333333333333,1.0
common_vocab,10,3,0.17919389978213507,0.17647058823529413,3.0,3.0
