mode,material_system,k,n_terms,mean_jaccard,median_jaccard,mean_overlap,median_overlap
common_vocab,short_fiber_composite,5,1,0.25,0.25,2.0,2.0
common_vocab,short_fiber_composite,10,1,0.25,0.25,4.0,4.0
common_vocab,structural_color_composite,5,1,0.1111111111111111,0.1111111111111111,1.0,1.0
common_vocab,structural_color_composite,10,1,0.17647058823529413,0.17647058823529413,3.0,3.0
common_vocab,zirconia,5,1,0.1111111111111111,0.1111111111111111,1.0,1.0
common_vocab,zirconia,10,1,0.1111111111111111,0.1111111111111111,2.0,2.0
